chara__name,frontier_high,crash_high,high_skill_note,artifacts_recomm,artifacts_note,aside_dependency,aside_note,,,,,,,,tier,personality,atk_type,line,role
네르,X,X,저학년 공격력 & 피해량 버프를 계속 유지시켜야 하므로 치명 피해만 올려주는 고학년은 사용하지 않습니다,"네르의 엘드르 깃발,프리클의 여왕 대리 인장,캬롯의 사탕수수","애착 아티팩트 필수, SP회복 중심",필수,무적 효과보다는 저학년 레벨 상한 증가 때문에 어사이드가 필요합니다.,,,,,,,,[1]메타픽,광기,마법,전열,서포터
네르(빡침),,,,,,,,,,,,,,,[1]메타픽,활발,물리,후열,딜러
네티,△,△,"어사이드 ★2 발현해야 기본 공격의 버프가 아군까지 확장되므로, 기본 공격 속도를 올려주는 고학년 스킬은 발현 전까지 사용하지 않습니다.<br>발현 후에도 저학년 보호막 회전율에 고학년 모션이 방해가 되는 경우, 사용하지 않습니다.","기원의 성배,프리클의 여왕 대리 인장,캬롯의 사탕수수",SP 회복 중심,낮음,,,,,,,,,[1]메타픽,광기,물리,전열,탱커
디아나(왕년),O,O,"고학년 사용 후 '백수공권' 모드로 전환, 기본 공격을 강화하여 DPS가 급등하기 때문에 고학년 사용이 필수입니다. ","용광검,슈슈슈슉 글러브,녹슨 붉은 검",공격 속도 및 물리 피해 중심,높음,,,,,,,,,[1]메타픽,냉정,물리,전열,딜러
롤렛,,,,,,,,,,,,,,,[1]메타픽,광기,마법,후열,딜러
리뉴아,O,O,"아군의 모든 모션 속도를 빠르게 만드는 고학년 때문에 채용되는 사도입니다. 고학년은 필수입니다.<br>권능 '급발진', 리코타 배틀아이템 '대백과' 효과를 받은 뒤 고학년을 사용합시다.","케틀벨,녹슨 붉은 검,리츠의 대지 뽀개기",물리 공격력 중심,높음,고학년 재사용 대기시간을 줄여주기 때문에 고학년 스킬이 본체인 리뉴아는 어사이드 의존도가 높습니다.,,,,,,,,[1]메타픽,광기,물리,중열,딜러
리코타,O,O,"저학년 모션이 굉장히 길기 때문에, 고학년 스킬은 이를 캔슬하기 위해 사용합니다. '대백과' 배틀 아이템이 생성되는 것을 확인하면 고학년으로 모션을 캔슬해줍시다.","프리클의 여왕 대리 인장,30KG 케틀벨,리츠의 대지 뽀개기","스킬 데미지, 빋는 피해량 감소 버프 중심",필수,"어사이드 ★2를 발현해야 버프가 추가되므로, 사실상 어사이드 발현을 전제하고 채용되는 사도입니다.",,,,,,,,[1]메타픽,냉정,물리,전열,탱커
모모,△,X,"일반적으로 고학년은 거의 사용하지 않지만, 적 뒤로 이동하는 특징 때문에 일부 패턴을 고개 돌리기로 파훼할 수 있습니다. ","다야의 다이아몬드 커터,다야의 다이아몬드 커터,날씨는 맑음",마법 피해 중심,보통,"A2보다는 A1이 중요한 사도로, A1 발현 시 저학년 레벨 상한이 11렙까지 오르는데 11렙에서 분신 수 하나가 추가됩니다.   ",,,,,,,,[1]메타픽,활발,마법,후열,딜러
뮤트,O,O,"침묵, 받는 스킬 피해량 증가, SP회복이 달려 있어서 고학년 필수입니다.","블랑셰의 유리 파랑새,블랑셰의 유리 파랑새,제이드의 비싼 만년필",마법 피해 중심,높음,"방어력 감소, 스킬 피해량 증가 계수를 높여 주기 때문에 어사이드 의존도가 높습니다.",,,,,,,,[1]메타픽,순수,마법,후열,서포터
벨라,X,X,"고학년은 도발과 아군 회복이 붙어 있어서, 보스전 보다는 PvP+침략용으로 사용됩니다.<br>저학년 버프를 최대한 유지하는 것이 핵심이므로 고학년은 사용하지 않습니다.","프리클의 여왕 대리 인장,캬롯의 사탕수수,기원의 성배",SP 회복 중심,높음,,,,,,,,,[1]메타픽,활발,마법,전열,탱커
