sec_key,chara_name,group,rank,reason,chips,pick,dim
reroll_support,우로스,엘다인,1,"5개 성격 중 하나를 선택하여 편성할 수 있는 '공명' 성격 버퍼입니다. 범용성 좋은 공격력 버프를 제공하고, 공명 성격 특성상 어느 덱에도 잘 어울리기 때문에 강추합니다.",,높은 범용성의 버퍼,
reroll_support,아일라,비엘다인,2,"최대 HP 증가, 보호막, 피해량감소 디버프로 파티의 안정성을 강화하는 서포터입니다. 돌파 시 전투 시작과 동시에 최대 HP 증가 버프를 걸 수 있습니다.",,,
reroll_support,아라그니아,비엘다인,3,오버힐이 없는 고유 힐 매커니즘을 가진 서포터입니다. 현재 퓨러 힐러 중에서는 가장 뛰어난 회복 성능을 보여줍니다.,,,
reroll_support,스패럿,비엘다인,4,PvP 위주의 스킬셋을 가진 서포터입니다. '매초 체력 비례 회복'을 가져 회복량이 뛰어나기 때문에 초반 PvE 콘텐츠 진행에도 도움이 됩니다. ,,,
reroll_support,뮤트,비엘다인,5,"적에게 표식을 남겨 받는 데미지 증가시키는 디버퍼겸 딜러입니다. 스킬셋 특성상 장기전, 보스전에서 빛을 발합니다. ",,,
sprout,슈로,1순위,1,"광역 받는 피해 감소를 제공할 수 있는 딜포터입니다. 가장 공격력이 높은 아군 사도의 공격력을 복사해오기 때문에 육성 부담이 적고, 피해 감소 버프로 초반 진행에 아주 유용합니다. 현재 새싹 교주용 선택권은 사실상 슈로로 고정입니다. 슈로가 이미 있다면 다른 사도들을 선택하면 됩니다. ",,,
sprout,마요(멋짐),2순위,2,중열 스킬 딜러입니다. 에르핀(왕도)와 포지션이 완전히 겹치기 때문에 현재는 잘 쓰지 않습니다. 순수 성격 시너지 채우기 위한 목적으로 사용해주세요.,,,
sprout,아이시아,2순위,3,후열 광역 스킬 딜러입니다. 현재는 유틸이 부족해 잘 쓰지 않습니다. 냉정 성격 시너지 채우기 위한 목적으로 사용해주세요.,,,
sprout,림(혼돈),2순위,4,적 후열을 저격하는 퓨어 딜러입니다. 현재는 인플레에 밀려 잘 쓰지 않습니다. 광기 성격 시너지 채우기 위한 목적으로 사용해주세요.,,,
sprout,로네(시장),2순위,5,아군 물리 딜러를 보조하는 딜폿입니다. 현재는 인플레에 밀려 잘 쓰지 않습니다. 우울 성격 시너지 채우기 위한 목적으로 사용해주세요.,,,
eldyne_d4,우이,1순위,1,"광역 회복, 광역 SP 주유를 가지고 있는 0티어 힐러입니다. 4일차 선택권은 거의 대부분 우이를 선택하며, 초보자 뽑기 및 기타 다른 경로로 우이를 이미 획득한 경우 비비를 선택합니다.",,,
eldyne_d4,비비,2순위,2,"높은 계수를 가지고 있어 생존력이 뛰어난 탱커입니다. 최상위권에서는 유틸이 부족해 잘 쓰이지 않지만, 적의 피해를 흡수하는 능력 하나만큼은 여전히 뛰어나 초반 진행에 큰 도움이 됩니다. 4일차 선택권을 받는 시점에 우이가 있다면 비비를 선택해주세요. ",,,
eldyne_d4,아야,3순위,3,"광역 딜링에 특화된 스킬 딜러입니다. 돌파 의존도가 높은 편이며, 현재는 인플레에 밀려 잘 사용되지 않습니다. 비비, 우이가 이미 있다면 선택해주세요.",,,
eldyne_d4,클로에,3순위,4,"체급이 높은 딜탱입니다. 유틸이 부족하며, 인플레에 밀려 현재는 잘 사용되지 않습니다. 비비, 우이가 이미 있다면 선택해주세요.",,,
eldyne_d4,시온 더 다크불릿,3순위,5,"적 후열을 우선 타격하는 퓨어 딜러입니다. 인플레에 밀려 현재는 잘 사용되지 않습니다. 비비, 우이가 이미 있다면 선택해주세요.",,,
dream_echo,벨라,1순위,1,아군에게 다양한 버프를 제공하는 탱포터입니다. 자체 탱킹 성능은 다소 부족한 편이지만 유틸이 뛰어나 자주 쓰입니다. 없다면 1순위로 받아줍시다.,,,
dream_echo,리뉴아,2순위,2,아군을 강화하는 동시에 적을 정지시키는 궁극기를 가지고 있는 딜폿입니다. 이를 통해 아군의 모션 자체를 가속하기 때문에 DPS가 중요한 콘텐츠에서 자주 쓰입니다. 리세나 각종 모집권 등에서 벨라가 나온 경우 선택해줍시다.,,,
dream_echo,디아나(왕년),3순위,3,높은 DPS를 가지고 있는 전열 평타 딜러입니다. 성능은 좋은 편이나 전열 딜러라는 특성 때문에 초반에 사용하기는 쉽지 않습니다. 벨라와 리뉴아가 이미 있는 경우 선택해줍시다.,,,
dream_echo,란,3순위,4,"스킬을 연속 사용하여 폭발적인 피해를 입힐 수 있는 후열 딜러입니다...만 어딘가 부족한 성능으로 거의 사용되지 않습니다. 단, 고유 모험회 아르바이트를 통한 후반 내실작에 필수인 사도이므로 언젠가는 얻어야 합니다.",adventure_club,,
dream_echo,죠안,3순위,5,"피해 분산이라는 고유 매커니즘으로 파티의 안정성을 강화하는 서포터입니다. 돌파 후에 생기는 기절 효과를 통한 기믹 수행 용도 외에는 거의 쓰이지 않습니다. ",,,
reroll_dealer,에르핀(왕도),엘다인,1,메타를 지배중인 딜러입니다. 모든 콘텐츠에서 애용되는 필수픽입니다.,baepo,,3주년 배포 예정
reroll_dealer,네르(빡침),엘다인,2,스킬 강화가 필요 없어 편하게 쓸 수 있는 딜러입니다. 초반에 절실한 파티 받는 피해 감소를 제공합니다. 고유 모험회 아르바이트로 내실작에도 필수입니다.,baepo,,3주년 배포 예정
reroll_dealer,요미,엘다인,3,광역 받는 피해 감소를 제공하여 초반 진행을 편하게 해주는 딜폿입니다. 어사 의존도가 높고 초반 진행 외엔 범용성이 떨어집니다.,,,
reroll_dealer,리뉴아,엘다인,4,광역 CC로 기믹 수행에 자주 쓰이는 딜폿입니다. 아군 모션을 가속하는 고유 버프가 있어서 DPS가 중요한 콘텐츠에서 자주 쓰입니다.,,,
reroll_dealer,모모,비엘다인,5,"분신 매커니즘을 가진 딜러로, 트릭컬 전투 시스템 상 높은 딜 포텐셜을 가지고 있습니다. 분신의 용도도 다양하여 전열의 피해분산, 특정 패턴 파훼를 위해 자주 쓰입니다.",,,
reroll_dealer,스키아,비엘다인,6,"범위 침묵. 기절, SP 감소를 모두 소유한 광역 제어 전문 딜러입니다. 기믹 파훼와 스킬 봉인을 위해 자주 쓰입니다.",,,
reroll_tank,실비아,엘다인,1,스킬 쿨다운 감소와 SP 주유를 모두 보유하여 현 스킬 딜러 메타에 가장 적합한 탱커입니다. 최신 엘다인인 만큼 복각 시기도 늦기 때문에 3주년 이전 리세 1순위로 추천됩니다. ,,메타 최적화 탱커,
adventure_club,빅우드,"초반(본부 9레벨, 모험회 10레벨)까지)",1,"본부 9래벨까지 필요한 재화(말랑한 나무, 단단한 돌, 뾰족뾰족 태엽)을 파밍할 수 있습니다. 본부 9레벨까지 빅우드를 주요원으로 사용합시다.",,본부 9레벨까지 필요한 재료를 모두 파밍 가능,
adventure_club,로네,"초반(본부 9레벨, 모험회 10레벨)까지)",2,"본부 9레벨까지 필요한 재화 (말랑한 나무, 단단한 돌, 뾰족뾰족 태엽)를 파밍할 수 있습니다. 빅우드에 비해 특성이 불리하기 때문에 빅우드가 없는 경우 대안으로 사용하세요.",,,
adventure_club,벨벳,"초반(본부 9레벨, 모험회 10레벨)까지)",3,"본부 9레벨까지 필요한 재화 (말랑한 나무, 단단한 돌, 뾰족뾰족 태엽)를 파밍할 수 있습니다. 빅우드에 비해 특성이 불리하기 때문에 빅우드가 없는 경우 대안으로 사용하세요.",,,
adventure_club,네르(빡침),중반(모험회 10레벨 이후),4,고유 아르바이트 '그늘 밑에서 기도하기(낮잠)'을 통해서 내실 콘텐츠 '연구'에 필요한 재료를 빠르게 수급할 수 있습니다. 3주년에 배포되는 만큼 모험회 10레벨 이후 연구 10단계까지는 사실상 네르만으로 충분합니다.  ,,고유 아르바이트로 재료 완제품 파밍 가능,
adventure_club,루포,중반(모험회 10레벨 이후),5,'연구'에 필요한 재화를 제작하는 중간 재료 파밍에 특화된 사도입니다. 네르(빡침)이전엔 주로 사용되었지만 현재는 본부 연구에선 거의 쓰지 않습니다. 네르(빡침)이 없는 경우에 대안으로 사용하세요. ,,,
adventure_club,요미,후반(연구 10단계 이후),6,연구 10단계 이후 필요한 '말랑금속' 수급에 특화된 사도입니다. 요미와 아네트 둘 중 하나를 사용하면 됩니다.,,,
adventure_club,아네트,후반(연구 10단계 이후),7,연구 10단계 이후 필요한 '말랑금속' 수급에 특화된 사도입니다. 요미와 아네트 둘 중 하나를 사용하면 됩니다.,,,
adventure_club,실비아,후반(연구 10단계 이후),8,연구 10단계 이후 필요한 '말랑금속' 수급에 특화된 사도입니다. 요미와 아네트 둘 다 없는 경우 사용하면 됩니다. 26년 12월에 배포예정입니다. ,,,
adventure_club,피라,후반(연구 10단계 이후),9,연구 10단계 이후 필요한 '말랑금속' 수급에 특화된 사도입니다. 요미와 아네트 둘 다 없는 경우 사용하면 됩니다. ,,,
adventure_club,이드,기타,10,"연구 단계별로 소량 필요한 '지구에서 온 납', '재활용 플라스틱'을 동시에 수급할 수 있습니다.",,,
adventure_club,블랑셰,기타,11,연구 단계별로 소량 필요한 '지구에서 온 납'을 수급할 수 있습니다.,,,
adventure_club,시온 더 다크불릿,기타,12,연구 단계별로 소량 필요한 '재활용 플라스틱'을 수급할 수 있습니다.,,,
adventure_club,엘레나,기타,13,연구 단계별로 소량 필요한 '재활용 플라스틱'을 수급할 수 있습니다.,,,
adventure_club,란,기타,14,"연구 14단계 이후, 고유 모험회 아르바이트를 통해 내실 콘텐츠용 재화 '빛'을 파밍할 수 있습니다.",,,
adventure_club,로네(시장),기타,15,호감도 콘텐츠 '연회장'에서 소모하는 음식 재료를 효과적으로 파밍할 수 있습니다.,,,
invasion,에르핀(왕도),,1,메타를 지배중인 딜러입니다. 모든 콘텐츠에서 애용되는 필수픽입니다.,baepo,배포중인 개사기 딜러,
invasion,실비아,,2,스킬 쿨다운 감소와 SP 주유를 모두 보유하여 현 스킬 딜러 메타에 가장 적합한 탱커입니다.,,에르핀과 찰떡 궁합,
invasion,벨라,,3,아군에게 다양한 버프를 제공하는 탱포터입니다. 자체 탱킹 성능은 다소 부족한 편이지만 유틸이 뛰어나 자주 쓰입니다.,,,
invasion,모모,,4,"분신 매커니즘을 가진 딜러입니다. 분신을 통해 전열의 피해 분산, 적의 특정 패턴 파훼를 위해 자주 쓰입니다.",,분신으로 피해 분산,
invasion,네르(빡침),,5,스킬 강화가 필요 없어 편하게 쓸 수 있는 딜러입니다. 초반에 절실한 파티 받는 피해 감소를 제공합니다.,baepo,,
invasion,우이,,6,"광역 회복, 광역 SP 주유를 가지고 있는 0티어 힐러입니다.",,확정 획득 가능한 0티어 힐러,
invasion,아일라,,7,"최대 HP 증가, 보호막, 피해량감소 디버프로 파티의 안정성을 강화하는 서포터입니다. 돌파 시 전투 시작과 동시에 최대 HP 증가 버프를 걸 수 있습니다.",,파티의 안정성 극대화,
invasion,스패럿,,8,PvP 위주의 스킬셋을 가진 서포터입니다. '매초 체력 비례 회복'을 가져 힐성능이 뛰어나기 때문에 초반 PvE 콘텐츠 진행에도 도움이 됩니다. ,,,
invasion,아라그니아,,9,오버힐이 없는 고유 힐 매커니즘을 가진 서포터입니다. 현재 퓨러 힐러 중에서는 가장 뛰어난 회복 성능을 보여줍니다.,,,
invasion,리뉴아,,10,아군을 강화하는 동시에 적을 정지시키는 궁극기를 가지고 있는 딜폿입니다. 궁극기 한 번으로 어려운 전투를 날먹할 수 있습니다.,,,
invasion,슈로,,11,"광역 받는 피해 감소를 제공할 수 있는 딜포터입니다. 가장 공격력이 높은 아군 사도의 공격력을 복사해오기 때문에 육성 부담이 적고, 피해 감소 버프로 초반 진행에 아주 유용합니다. ",,새싹 선택권에서 확정 획득,
invasion,비비,,12,"보호막을 통한 탱킹 성능이 뛰어난 탱커입니다. 실비아나 벨라에 비하면 유틸 성능은 떨어지지만 전열에서 피해를 버티는 능력만큼은 뒤떨어지지 않습니다. 실비아, 벨라가 없는 경우 사용해줍시다.",,,
invasion,스키아,,13,"범위 침묵. 기절, SP 감소를 모두 소유한 광역 제어 전문 딜러입니다. 상위권에서도 기믹 파훼와 스킬 봉인을 위해 자주 쓰이며, 초반 침략 돌파용으로도 추천됩니다.",,,
invasion,오로라,,14,"높은 계수의 받는 피해 감소 버프로 피해를 흡수하기 좋은 탱커입니다. 단, 유틸이 부족하고 돌파가 크게 의미가 없어서 초반 진행용 외에는 잘쓰이지 않습니다. 초반 침략 돌파용으로만 사용해줍시다.",,,
invasion,요미,,15,"'광역 받는 피해 감소'와 '적 주는 피해 감소'를 제공하여 초반 진행을 편하게 해주는 딜폿입니다. 돌파를 하지 않으면 피해량이 낮고, 딜 고점이 낮아 내실이 쌓일수록 범용성이 떨어집니다.",,,
invasion,레비(졸업),,16,"강화공격으로 '공격력이 가장 높은 아군'을 강화하는 컨셉을 가진 PvP용 탱커입니다. 에르핀(왕도)를 지원하는데 최적화된 스킬셋을 가지고 있습니다. 기본적으로는 PvP가 본무대지만, 후반까지 활용할 수 있는 픽이기 때문에 초반 침략 돌파시에도 사용하셔도 좋습니다.",,,
invasion,잉클,,17,"높은 스킬 피해량, 광역 실명을 가지고 있는 딜러입니다. 최신 메타픽 사도들에 비하면 딜 고점이 낮아 잘 쓰이지 않지만, 육성이 부족한 초반과 성격 제한 콘텐츠에서는 1티어로 손꼽힙니다. ",,,
invasion,에슈르(마도),,18,"분신을 소환하여 평타를 강화하는 컨셉의 평타 딜러입니다. 단 모모와 달리 분신은 자체적인 체력이 없고 어그로가 끌리지 않아 단순 이펙트에 가깝습니다. SP 주유에 역시너지를 받아 실비아와의 조합이 까다로워서 상위권에서 잘 쓰진 않지만, 초반 침략 돌파용으로 활용하기에는 좋습니다.",,,
invasion,미로,,19,적 후방에 분신을 소환하여 어그로를 분산하는 탱커입니다. 유틸이 크게 부족하기 때문에 고점은 낮지만 초반 침략 돌파용으로는 적절한 사도입니다.,anniv3,,
anniv3_eldyne,우로스,추천,1,"5개 성격 중 하나를 선택하여 편성할 수 있는 '공명' 성격 버퍼입니다. 범용성 좋은 공격력 버프를 제공하고, 공명 성격 특성상 어느 덱에도 잘 어울리기 때문에 강추합니다. 돌파 성능이 좋기 때문에 1순위로 고려할 수 있지만, 최대 돌파까지 해야 명함과 유의미한 성능 차이가 생기기 때문에 숙고가 필요합니다.",,높은 범용성의 버퍼,
anniv3_eldyne,시온 더 다크불릿,비추천,2,적 후열을 우선 타격하는 퓨어 딜러입니다. 인플레에 밀려 현재는 잘 사용되지 않습니다,,,메타 부적합
anniv3_eldyne,클로에,비추천,3,"체급이 높은 딜탱입니다. 유틸이 부족하며, 인플레에 밀려 현재는 잘 사용되지 않습니다. ",,,메타 부적합
anniv3_eldyne,아야,비추천,4,광역 딜링에 특화된 스킬 딜러입니다. 돌파 의존도가 높고 최신 엘다인들에 밀려 현재는 잘 사용되지 않습니다.,,,메타 부적합
anniv3_eldyne,우이,비추천,5,"광역 회복, 광역 SP 주유를 가지고 있는 0티어 힐러입니다. 4일차 엘다인 선택권으로 확정 획득이 가능하며 돌파 의존도가 낮아, 중복 획득은 추천되지 않습니다.",,,다른 경로로 확정 획득 가능
anniv3_eldyne,비비,추천,6,높은 계수를 가지고 있어 생존력이 뛰어난 탱커입니다. 최근에 출시된 엘다인 탱커들에 비해 범용성은 낮은 편입니다.,,,
anniv3_eldyne,벨라,추천,7,아군에게 다양한 버프를 제공하는 탱포터입니다. 자체 탱킹 성능은 다소 부족한 편이지만 유틸이 뛰어나 자주 쓰입니다. 3주년 출석 보상 선택권에서 확정 획득이 가능합니다. 돌파 성능이 좋기 때문에 1순위로 고려할 수 있습니다.,dream_echo,,
anniv3_eldyne,에피카,비추천,8,평타 딜러입니다. 돌파 의존도가 매우 높습니다. 현재는 인플레에 밀려 잘 사용되지 않습니다.,,,메타 부적합
anniv3_eldyne,이드,비추천,9,전투 시작 시 무적 효과를 가지고 있는 탱커입니다. 돌파 의존도가 매우 높고 범용성이 떨어지는 편입니다. 단 모험회 특성 구성 때문에 다른 엘다인이 충분하다면 명함은 얻어도 괜찮습니다..,adventure_club,,범용성 낮음
anniv3_eldyne,리뉴아,추천,10,아군을 강화하는 동시에 적을 정지시키는 궁극기를 가지고 있는 딜폿입니다. 이를 통해 아군의 모션 자체를 가속하기 때문에 DPS가 중요한 콘텐츠에서 자주 쓰입니다. 메타 변화로 과거에 비해 픽률은 낮아졌지만 보스 콘텐츠에서 종종 사용됩니다.,dream_echo,,
anniv3_eldyne,디아나(왕년),추천,11,높은 DPS를 가지고 있는 전열 평타 딜러입니다. 성능은 좋은 편이나 전열 딜러라는 특성 때문에 초반에 사용하기는 쉽지 않습니다. 벨라와 리뉴아가 이미 있는 경우 선택해줍시다.,dream_echo,,
anniv3_eldyne,요미,추천,12,광역 받는 피해 감소를 제공하여 초반 진행을 편하게 해주는 딜폿입니다. 어사 의존도가 높고 초반 진행 외엔 범용성이 떨어집니다. 단 모험회 콘텐츠에서는 특정 재화를 파밍하기 위해 자주 쓰이므로 명함은 고려해봅시다.,"adventure_club,invasion",,
anniv3_eldyne,티그(영웅),추천,13,"높은 DPS를 가지고 있는 스킬, 평타 하이브리드 딜러입니다...만 현재는 메타 변화와 자리 부족으로 잘 사용되지 않습니다. 돌파 의존도가 비교적 높은 편입니다. 성능이 나쁜 것은 아니지만 성격 제한 콘텐츠 외엔 범용성이 떨어지므로 숙고가 필요합니다.",,,
anniv3_eldyne,죠안,비추천,14,피해 분산이라는 고유 매커니즘으로 파티의 안정성을 강화하는 서포터입니다. 돌파 후에 생기는 기절 효과를 통한 기믹 수행 용도 외에는 거의 쓰이지 않습니다. ,dream_echo,,범용성 낮음
anniv3_eldyne,란,비추천,15,"스킬을 연속 사용하여 폭발적인 피해를 입힐 수 있는 후열 딜러입니다...만 어딘가 부족한 성능으로 거의 사용되지 않습니다. 단, 고유 모험회 아르바이트를 통한 후반 내실작에 필수인 사도이므로 언젠가는 얻어야 합니다.",dream_echo,,메타 부적합
anniv3_normal,모모,딜러,1,"분신 매커니즘을 가진 딜러로, 트릭컬 전투 시스템 상 높은 딜 포텐셜을 가지고 있습니다. 분신의 용도도 다양하여 전열의 피해분산, 적의 특정 패턴 파훼를 위해 자주 쓰입니다.",,활용도 높은 분신 생성,
anniv3_normal,뮤트,서포터,2,"받는 스킬 피해량 증가 디버프, 스킬 피해량 증가를 가지고 있으며 장기전으로 갈수록 피해량이 기하급수적으로 늘어나는 딜폿입니다. 보스 콘텐츠에서 필수픽으로 꼽히기 때문에 강추합니다.",,보스 콘텐츠 MVP,
anniv3_normal,아일라,서포터,3,"최대 HP 증가, 보호막, 피해량감소 디버프로 파티의 안정성을 강화하는 서포터입니다. 돌파 시 전투 시작과 동시에 최대 HP 증가 버프를 걸 수 있습니다.",,팀의 체력을 책임지는 서포터,
anniv3_normal,스노키,탱커,4,돌파 시 전투 시작과 동시에 모든 아군에게 보호막을 부여하여 아군의 스킬 시전 시간을 벌어주는 탱커입니다. 돌파 의존도가 매우 높습니다. ,,,
anniv3_normal,롤렛,서포터,5,무작위 아군 1명의 고학년 스킬 쿨다운을 감소시킬 수 있는 서포터입니다. 현재 스킬 딜러 메타와 잘 맞으며 PvP에서 자주 기용됩니다.,,,
anniv3_normal,아네트,서포터,6,"입힌 피해량이 가장 높은 아군에게 피해량 증가 버프를 제공하는 서포터입니다. 현재는 자리 부족으로 예전만큼 잘 쓰이진 않지만, dps가 중요한 콘텐츠에서 종종 기용됩니다.",,,
anniv3_normal,폴랑,서포터,7,스킬 피해량 증가 버프와 기절을 걸 수 있는 서포터입니다. 돌파 시 기절 효과가 광역으로 변경되기 때문에 의존도가 높은 편입니다. 최근에는 제어기가 필요한 보스전에서 기믹 파훼를 위해 종종 기용됩니다.,,,
